,dummyLocation,gpsPerturbated,dumRadMin,dumRadStep,pertDec,avg
48,True,True,500,1000,4,1.0003569526648677
49,True,True,500,1000,5,0.9996048156584684
50,True,True,500,2000,1,8.697981860659226
51,True,True,500,2000,2,1.849533940038043
52,True,True,500,2000,3,1.503423430938116
53,True,True,500,2000,4,1.4982522834510048
54,True,True,500,2000,5,1.4973649764709591
55,True,True,1000,250,1,8.580081347638275
56,True,True,1000,250,2,1.534373766477706
57,True,True,1000,250,3,1.1281216802879108
58,True,True,1000,250,4,1.1246023185711025
59,True,True,1000,250,5,1.1249245163794876
60,True,True,1000,500,1,8.616044906404822
61,True,True,1000,500,2,1.6143395644800749
62,True,True,1000,500,3,1.2533805891344143
63,True,True,1000,500,4,1.2500589048801547
64,True,True,1000,500,5,1.250339343587535
65,True,True,1000,750,1,8.608482677893088
66,True,True,1000,750,2,1.7178316063939263
67,True,True,1000,750,3,1.3777851147521478
68,True,True,1000,750,4,1.374086388639825
69,True,True,1000,750,5,1.375140948486836
70,True,True,1000,1000,1,8.664069050454582
71,True,True,1000,1000,2,1.8089243025338804
72,True,True,1000,1000,3,1.5043125600112333
73,True,True,1000,1000,4,1.5019027862717544
74,True,True,1000,1000,5,1.5024580714044484
75,True,True,1000,2000,1,8.924014938345234
76,True,True,1000,2000,2,2.2385188516615
77,True,True,1000,2000,3,2.00263060718839
78,True,True,1000,2000,4,2.001442330310525
79,True,True,1000,2000,5,2.0021198761647216
80,True,True,1500,250,1,8.670135211048027
81,True,True,1500,250,2,1.8935855623459552
82,True,True,1500,250,3,1.6270003352988474
83,True,True,1500,250,4,1.6248623414305614
84,True,True,1500,250,5,1.6252675013805082
85,True,True,1500,500,1,8.712428220189162
86,True,True,1500,500,2,2.003577561823861
87,True,True,1500,500,3,1.752233613665514
88,True,True,1500,500,4,1.7509652693550224
89,True,True,1500,500,5,1.7501015043427637
90,True,True,1500,750,1,8.730743123935877
91,True,True,1500,750,2,2.107028316196261
92,True,True,1500,750,3,1.878884909166662
93,True,True,1500,750,4,1.876252791102902
94,True,True,1500,750,5,1.875573825119282
95,True,True,1500,1000,1,8.857356053328873
96,True,True,1500,1000,2,2.2153289945913297
97,True,True,1500,1000,3,2.003940801407422
98,True,True,1500,1000,4,1.999338426962636
99,True,True,1500,1000,5,2.000413755885364
100,True,True,1500,2000,1,9.253422690341386
101,True,True,1500,2000,2,2.680864330022699
102,True,True,1500,2000,3,2.499881153151126
103,True,True,1500,2000,4,2.5014467453187152
104,True,True,1500,2000,5,2.4908939515616595
105,True,True,2000,250,1,8.881105912625019
106,True,True,2000,250,2,2.317793065628045
107,True,True,2000,250,3,2.1277369695114485
108,True,True,2000,250,4,2.125826171120648
109,True,True,2000,250,5,2.123656944287057
110,True,True,2000,500,1,8.948403424138982
111,True,True,2000,500,2,2.4265602394754766
112,True,True,2000,500,3,2.2523025605233924
113,True,True,2000,500,4,2.2505132826795573
114,True,True,2000,500,5,2.2506077176614374
115,True,True,2000,750,1,9.029056943004305
116,True,True,2000,750,2,2.5512086559508598
117,True,True,2000,750,3,2.377784803869336
118,True,True,2000,750,4,2.375362268670439
119,True,True,2000,750,5,2.375619054782854
120,True,True,2000,1000,1,9.184027113831844
121,True,True,2000,1000,2,2.667483063449185
122,True,True,2000,1000,3,2.4988538811782486
123,True,True,2000,1000,4,2.500478822749406
124,True,True,2000,1000,5,2.5000020105969734
125,True,True,2000,2000,1,9.66829636158052
126,True,True,2000,2000,2,3.139338662613117
127,True,True,2000,2000,3,3.0024213287975425
128,True,True,2000,2000,4,2.9996086400693427
129,True,True,2000,2000,5,3.0011926097199684
130,True,True,3000,250,1,9.79522667451944
131,True,True,3000,250,2,3.248232514821676
132,True,True,3000,250,3,3.1260233741222665
133,True,True,3000,250,4,3.12515337345126
134,True,True,3000,250,5,3.1251929584267564
135,True,True,3000,500,1,9.965046251262397
136,True,True,3000,500,2,3.376319019002974
137,True,True,3000,500,3,3.2493717785764225
138,True,True,3000,500,4,3.249977674010267
139,True,True,3000,500,5,3.2493172096777627
140,True,True,3000,750,1,10.015195270658197
141,True,True,3000,750,2,3.4978910580809512
142,True,True,3000,750,3,3.377694963334678
143,True,True,3000,750,4,3.3757285803507737
144,True,True,3000,750,5,3.3757347972510736
145,True,True,3000,1000,1,10.177153880291034
146,True,True,3000,1000,2,3.615602378620297
147,True,True,3000,1000,3,3.500841086211397
148,True,True,3000,1000,4,3.501148243437345
149,True,True,3000,1000,5,3.501391075300424
150,True,True,3000,2000,1,10.87908698184689
151,True,True,3000,2000,2,4.107441053771313
152,True,True,3000,2000,3,4.003106522695884
153,True,True,3000,2000,4,4.002529179139873
154,True,True,3000,2000,5,4.000257745366257
